config,job,run_id,run_number,cpu_model,stage_index,label,cpu_avg_pct,energy_j,power_avg_w,duration_s
C,main,35641117789,1,"AMD EPYC 7763 64-Core Processor",1,toolchain,19.3582,15.4156,3.61,4.27
C,main,35641117789,1,"AMD EPYC 7763 64-Core Processor",2,install,41.9372,70.4855,4.75,14.83
C,main,35641117789,1,"AMD EPYC 7763 64-Core Processor",3,test,18.7961,6.90746,3.35,2.06
C,main,35641117789,1,"AMD EPYC 7763 64-Core Processor",4,build,57.3369,21.1412,5.61,3.77
C,main,35641117789,1,"AMD EPYC 7763 64-Core Processor",5,deploy,53.1931,88.4969,5.53,15.99
E,build,35641239151,1,"AMD EPYC 9V74 80-Core Processor",1,toolchain,10.6473,15.2807,3.27,4.67
E,build,35641239151,1,"AMD EPYC 9V74 80-Core Processor",2,install,54.7927,57.8038,5.48,10.55
E,build,35641239151,1,"AMD EPYC 9V74 80-Core Processor",3,build,55.3158,19.4543,5.56,3.50
E,build,35641239151,1,"AMD EPYC 9V74 80-Core Processor",4,deploy,56.2049,92.2946,5.67,16.28
E,lint,35641239151,1,"AMD EPYC 7763 64-Core Processor",1,toolchain,25.9365,27.8492,4.19,6.65
E,lint,35641239151,1,"AMD EPYC 7763 64-Core Processor",2,install,38.6902,57.6829,4.60,12.54
E,lint,35641239151,1,"AMD EPYC 7763 64-Core Processor",3,lint,42.785,45.6303,4.80,9.51
E,test,35641239151,1,"AMD EPYC 7763 64-Core Processor",1,toolchain,23.9991,20.4188,3.98,5.13
E,test,35641239151,1,"AMD EPYC 7763 64-Core Processor",2,install,46.571,62.8313,5.03,12.49
E,test,35641239151,1,"AMD EPYC 7763 64-Core Processor",3,test,32.9699,10.3416,4.35,2.38
D,main,35641433767,1,"AMD EPYC 7763 64-Core Processor",1,toolchain,17.0378,19.8319,3.74,5.30
D,main,35641433767,1,"AMD EPYC 7763 64-Core Processor",2,install,49.7593,64.0502,5.25,12.19
D,main,35641433767,1,"AMD EPYC 7763 64-Core Processor",3,test,21.068,8.16706,3.96,2.06
D,main,35641433767,1,"AMD EPYC 7763 64-Core Processor",4,build,57.6678,21.2537,5.87,3.62
D,main,35641433767,1,"AMD EPYC 7763 64-Core Processor",5,deploy,54.3458,92.6496,5.66,16.38
A,main,35641551514,1,"AMD EPYC 7763 64-Core Processor",1,toolchain,16.3865,17.5568,3.81,4.61
A,main,35641551514,1,"AMD EPYC 7763 64-Core Processor",2,install,44.3131,72.4865,4.96,14.61
A,main,35641551514,1,"AMD EPYC 7763 64-Core Processor",3,lint,39.4265,44.5187,4.68,9.51
A,main,35641551514,1,"AMD EPYC 7763 64-Core Processor",4,test,25.5145,10.1609,4.13,2.46
A,main,35641551514,1,"AMD EPYC 7763 64-Core Processor",5,build,57.4368,22.0739,5.82,3.79
A,main,35641551514,1,"AMD EPYC 7763 64-Core Processor",6,deploy,51.6823,98.2527,5.48,17.93
B,main,35641693956,1,"Intel(R) Xeon(R) 6973P-C",1,toolchain,41.4315,33.5887,4.74,7.09
B,main,35641693956,1,"Intel(R) Xeon(R) 6973P-C",2,install,64.7288,49.3544,6.03,8.19
B,main,35641693956,1,"Intel(R) Xeon(R) 6973P-C",3,lint,45.1851,32.6638,4.92,6.64
B,main,35641693956,1,"Intel(R) Xeon(R) 6973P-C",4,test,43.09,6.84492,4.82,1.42
B,main,35641693956,1,"Intel(R) Xeon(R) 6973P-C",5,build,59.1778,14.7521,5.70,2.59
B,main,35641693956,1,"Intel(R) Xeon(R) 6973P-C",6,deploy,39.3877,92.4651,4.80,19.27
F,main,35641819467,1,"AMD EPYC 7763 64-Core Processor",1,toolchain,18.4005,20.9405,3.79,5.53
F,main,35641819467,1,"AMD EPYC 7763 64-Core Processor",2,install,47.9169,64.7488,5.15,12.57
F,main,35641819467,1,"AMD EPYC 7763 64-Core Processor",3,lint,42.5656,46.6662,4.83,9.67
F,main,35641819467,1,"AMD EPYC 7763 64-Core Processor",4,test,36.4688,11.1801,4.60,2.43
F,main,35641819467,1,"AMD EPYC 7763 64-Core Processor",5,build,60.9583,21.8416,5.98,3.65
F,main,35641819467,1,"AMD EPYC 7763 64-Core Processor",6,deploy,52.4922,101.492,5.49,18.48
